Category 2|Category 3|Category 4|Extension|Description
Archive and compressed|||?Q?|files that are compressed, often by the SQ program.
Archive and compressed|||7z|7-zip compressed file
Archive and compressed|||A|an external file extension for C/C++
Archive and compressed|||AAC|Advanced Audio Coding
Archive and compressed|||ABB|Android App Bundle – is the Android (and Android TV) application publishing file format (required by Google Play) taking over from:
Archive and compressed|||APK|Android package: Applications installable on Android (also installable in derivatives and e.g. Windows 11); also a package format of the Alpine Linux distribution, see below under APK.
Archive and compressed|||ACE|ace: ACE compressed file
Archive and compressed|||ALZ|ALZip compressed file
Archive and compressed|||APK|"For Android see ABB/APK above (APK/Android apps also usable in Windows 11); The Alpine Linux distribution also use .apk files as a package format but then with un unrelated definition as in Android. They are often called ""a-packs""."
Archive and compressed|||APPX|Microsoft Application Package (.appx)
Archive and compressed|||APP|HarmonyOS APP Packs file format for HarmonyOS apps installable from AppGallery and third party OpenHarmony based app distribution stores.
Archive and compressed|||AT3|Sony's UMD data compression
Archive and compressed|||ARC|pre-Zip data compression
Archive and compressed|||ARC|Nintendo U8 Archive (mostly Yaz0 compressed)
Archive and compressed|||ARJ|ARJ compressed file
Archive and compressed|||ASS|ASS (also SSA): a subtitles file created by Aegisub, a video typesetting application (also a Halo game engine file)
Archive and compressed|||SSA|ASS (also SSA): a subtitles file created by Aegisub, a video typesetting application (also a Halo game engine file)
Archive and compressed|||B|(B file) Similar to .a, but less compressed.
Archive and compressed|||BA|BA: Scifer Archive (.ba), Scifer External Archive Type
Archive and compressed|||BIN|compressed archive, can be read and used by CD-ROMs and Java, extractable by 7-zip and WINRAR
Archive and compressed|||BKF|Microsoft backup created by NTBackup.c
Archive and compressed|||BLEND|An external 3D file format used by the animation software, Blender.
Archive and compressed|||BZ2|bzip2
Archive and compressed|||BMP|Bitmap Image – You can create one on Windows by right-clicking the home screen, next, click new, then, click Bitmap Image
Archive and compressed|||CAB|A cabinet file is a library of compressed files stored as one file. Cabinet files are used to organize installation files that are copied to the user's system.
Archive and compressed|||C4|JEDMICS image files, a DOD system
Archive and compressed|||CALS|JEDMICS image files, a DOD system
Archive and compressed|||XAML|Used in programs like Visual Studio to create exe files.
Archive and compressed|||CPT|Compact Pro (Macintosh)
Archive and compressed|||SEA|Compact Pro (Macintosh)
Archive and compressed|||CS|File extension for C-Sharp (C#) files
Archive and compressed|||DAA|DAA: Closed-format, Windows-only compressed disk image
Archive and compressed|||DEB|Debian install package
Archive and compressed|||DMG|an Apple compressed/encrypted format
Archive and compressed|||DDZ|"a file which can only be used by the ""daydreamer engine"" created by ""fever-dreamer"", a program similar to RAGS, it's mainly used to make somewhat short games."
Archive and compressed|||DN|Adobe Dimension CC file format
Archive and compressed|||DNG|"""Digital Negative"" a type of raw image file format used in digital photography."
Archive and compressed|||DPE|Package of AVE documents made with Aquafadas digital publishing tools.
Archive and compressed|||EGG|Alzip Egg Edition compressed file
Archive and compressed|||EGT|EGT Universal Document also used to create compressed cabinet files replaces .ecab
Archive and compressed|||ECAB|EGT Compressed Folder used in advanced systems to compress entire system folders, replaced by EGT Universal Document
Archive and compressed|||EZIP|EGT Compressed Folder used in advanced systems to compress entire system folders, replaced by EGT Universal Document
Archive and compressed|||ESD|ESD: Electronic Software Distribution, a compressed and encrypted WIM File
Archive and compressed|||ESS|EGT SmartSense File, detects files compressed using the EGT compression system.
Archive and compressed|||EXE|Windows application
Archive and compressed|||FLIPCHART|Used in Promethean ActivInspireFlipchart Software.
Archive and compressed|||FUN|A FUN file is a file that has been encrypted by Jigsaw ransomware, which is malware distributed by cybercriminals. It contains a file, such as a .JPG, .DOCX, .XLSX, .MP4, or .CSV file, that has been renamed and encrypted by the virus.
Archive and compressed|||FLM|FL Studio Mobile, can also be used as a project file.
Archive and compressed|||FLP|FL Studio Project File
Archive and compressed|||GBS|GBS OtterUI binary scene file
Archive and compressed|||GGP|GBS OtterUI binary scene file
Archive and compressed|||GSC|GBS OtterUI binary scene file
Archive and compressed|||GD|GDScript, belonging to Godot Game Engine
Archive and compressed|||GHO|GHO Norton Ghost
Archive and compressed|||GHS|GHO Norton Ghost
